,label,entity
0,E.T. the Extra-Terrestrial,http://www.wikidata.org/entity/Q11621
1,Peaceful Warrior,http://www.wikidata.org/entity/Q603545
2,God Help the Girl,http://www.wikidata.org/entity/Q16911843
3,Finding Nemo,http://www.wikidata.org/entity/Q132863
4,The Browning Version,http://www.wikidata.org/entity/Q1628022
5,The Party's Just Beginning,http://www.wikidata.org/entity/Q48313910
6,The Princess and the Frog,http://www.wikidata.org/entity/Q171300
7,The Twilight Saga: Eclipse,http://www.wikidata.org/entity/Q217010
8,The Candidate,http://www.wikidata.org/entity/Q4993462
9,Nightjohn,http://www.wikidata.org/entity/Q7033842
10,station building,http://www.wikidata.org/entity/Q1339195
11,indirectSubclassOf,http://ddis.ch/atai/indirectSubclassOf
12,film organization,http://www.wikidata.org/entity/Q104649845
14,fictional princess,http://www.wikidata.org/entity/Q61928601
16,comics,http://www.wikidata.org/entity/Q1004
18,children's book,http://www.wikidata.org/entity/Q8275050
20,literary pentalogy,http://www.wikidata.org/entity/Q17710986
22,supervillain team,http://www.wikidata.org/entity/Q16101952
26,neighbourhood of Helsinki,http://www.wikidata.org/entity/Q15715406
28,disputed territory,http://www.wikidata.org/entity/Q15239622
30,Silver Bear,http://www.wikidata.org/entity/Q708135
32,Kaboom,http://www.wikidata.org/entity/Q1720855
33,Like Crazy,http://www.wikidata.org/entity/Q598752
34,In the Line of Fire,http://www.wikidata.org/entity/Q427386
35,Scent of a Woman,http://www.wikidata.org/entity/Q321561
36,Tom Meets Zizou,http://www.wikidata.org/entity/Q1410031
37,Guardians of the Galaxy Vol. 2,http://www.wikidata.org/entity/Q20001199
38,Kung Fu Panda 3,http://www.wikidata.org/entity/Q15055043
39,Magic Carpet Ride,http://www.wikidata.org/entity/Q639070
40,"Sex, Death and Bowling",http://www.wikidata.org/entity/Q23999890
41,RoboCop 3,http://www.wikidata.org/entity/Q841233
42,Behind the Candelabra,http://www.wikidata.org/entity/Q2893887
43,The Girl in the Spider's Web,http://www.wikidata.org/entity/Q19803136
44,Martial Arts of Shaolin,http://www.wikidata.org/entity/Q1039395
45,Gandhi,http://www.wikidata.org/entity/Q202211
46,,http://www.wikidata.org/entity/Q28974159
47,The Adventures of Tom Sawyer,http://www.wikidata.org/entity/Q326914
48,Bloody Mama,http://www.wikidata.org/entity/Q885281
49,Being with Juli Ashton,http://www.wikidata.org/entity/Q814781
50,Lillian Lehman,http://www.wikidata.org/entity/Q6548158
51,Conan the Barbarian,http://www.wikidata.org/entity/Q1123629
52,Les Misérables,http://www.wikidata.org/entity/Q1780602
53,Eskimo,http://www.wikidata.org/entity/Q610633
54,A Happy Event,http://www.wikidata.org/entity/Q2188914
55,Free Willy 3: The Rescue,http://www.wikidata.org/entity/Q1032889
56,Iron Man 3,http://www.wikidata.org/entity/Q209538
57,Top Gun: Maverick,http://www.wikidata.org/entity/Q31202708
58,Normal,http://www.wikidata.org/entity/Q2576243
59,Delta Farce,http://www.wikidata.org/entity/Q4335275
60,Medea,http://www.wikidata.org/entity/Q931557
61,The Hell of '63,http://www.wikidata.org/entity/Q2235250
62,Naruto the Movie: Guardians of the Crescent Moon Kingdom,http://www.wikidata.org/entity/Q696646
63,Masaichi Nagata,http://www.wikidata.org/entity/Q6782400
64,Günter Grass,http://www.wikidata.org/entity/Q6538
65,Mandarin Chinese,http://www.wikidata.org/entity/Q9192
66,Miranda Frigon,http://www.wikidata.org/entity/Q10623856
67,X-Men: First Class,http://www.wikidata.org/entity/Q223596
68,A Night at the Opera,http://www.wikidata.org/entity/Q943992
69,Mulan,http://www.wikidata.org/entity/Q1893555
70,Cho Geun-hyeon,http://www.wikidata.org/entity/Q21060270
71,Nat Pendleton,http://www.wikidata.org/entity/Q1288004
