,Unnamed: 0,label,predicate
242,79777,Australian Classification,http://www.wikidata.org/prop/direct/P3156
193,9828,BAMID film rating,http://www.wikidata.org/prop/direct/P9086
193,9828,BAMID filmi rating,http://www.wikidata.org/prop/direct/P9086
53,263,BBFC rating,http://www.wikidata.org/prop/direct/P2629
64,345,CNC film rating (France),http://www.wikidata.org/prop/direct/P2758
100,954,CNC film rating (Romania),http://www.wikidata.org/prop/direct/P3402
100,954,CNC film rating (romanian),http://www.wikidata.org/prop/direct/P3402
64,345,CNC filmi rating (France),http://www.wikidata.org/prop/direct/P2758
100,954,CNC filmi rating (Romania),http://www.wikidata.org/prop/direct/P3402
112,1670,ClassInd rating,http://www.wikidata.org/prop/direct/P3216
105,1408,EIRIN film rating,http://www.wikidata.org/prop/direct/P2756
105,1408,EIRIN filmi rating,http://www.wikidata.org/prop/direct/P2756
171,6333,FPB rating,http://www.wikidata.org/prop/direct/P4437
36,112,FSK film rating,http://www.wikidata.org/prop/direct/P1981
36,112,FSK filmi rating,http://www.wikidata.org/prop/direct/P1981
27,59,Filmiroda rating,http://www.wikidata.org/prop/direct/P2747
96,897,Hong Kong film rating,http://www.wikidata.org/prop/direct/P8874
96,897,Hong Kong filmi rating,http://www.wikidata.org/prop/direct/P8874
28,62,ICAA rating,http://www.wikidata.org/prop/direct/P3306
95,870,IFCO rating,http://www.wikidata.org/prop/direct/P7573
119,1833,IGAC rating,http://www.wikidata.org/prop/direct/P5150
114,1705,IMDA rating,http://www.wikidata.org/prop/direct/P5201
8,10,IMDb ID,http://www.wikidata.org/prop/direct/P345
109,1591,INCAA film rating,http://www.wikidata.org/prop/direct/P3428
109,1591,INCAA filmi rating,http://www.wikidata.org/prop/direct/P3428
34,93,JMK film rating,http://www.wikidata.org/prop/direct/P3650
34,93,JMK filmi rating,http://www.wikidata.org/prop/direct/P3650
176,6589,KAVI rating,http://www.wikidata.org/prop/direct/P5152
191,9144,KMRB film rating,http://www.wikidata.org/prop/direct/P3818
191,9144,KMRB filmi rating,http://www.wikidata.org/prop/direct/P3818
39,144,Kijkwijzer rating,http://www.wikidata.org/prop/direct/P2684
122,2019,MPAA film rating,http://www.wikidata.org/prop/direct/P1657
122,2019,MPAA filmi rating,http://www.wikidata.org/prop/direct/P1657
159,5082,MTRCB rating,http://www.wikidata.org/prop/direct/P8889
54,265,Medierådet rating,http://www.wikidata.org/prop/direct/P5970
86,666,NMHH film rating,http://www.wikidata.org/prop/direct/P2363
86,666,NMHH filmi rating,http://www.wikidata.org/prop/direct/P2363
106,1448,OFLC classification,http://www.wikidata.org/prop/direct/P7327
140,3454,RARS rating,http://www.wikidata.org/prop/direct/P2637
89,687,RCQ classification,http://www.wikidata.org/prop/direct/P6658
98,945,RTC film rating,http://www.wikidata.org/prop/direct/P3834
98,945,RTC filmi rating,http://www.wikidata.org/prop/direct/P3834
174,6497,affili,http://www.wikidata.org/prop/direct/P1416
174,6497,affiliation,http://www.wikidata.org/prop/direct/P1416
65,347,after a form by,http://www.wikidata.org/prop/direct/P1877
65,347,after a work by,http://www.wikidata.org/prop/direct/P1877
65,347,after a worker by,http://www.wikidata.org/prop/direct/P1877
150,4537,allegi,http://www.wikidata.org/prop/direct/P945
150,4537,allegiance,http://www.wikidata.org/prop/direct/P945
216,25074,ancestr home,http://www.wikidata.org/prop/direct/P66
216,25074,ancestral home,http://www.wikidata.org/prop/direct/P66
216,25074,ancestral homey,http://www.wikidata.org/prop/direct/P66
216,25074,ancestral homi,http://www.wikidata.org/prop/direct/P66
72,399,anim,http://www.wikidata.org/prop/direct/P6942
72,399,animator,http://www.wikidata.org/prop/direct/P6942
241,79775,appli to jurisdict,http://www.wikidata.org/prop/direct/P1001
241,79775,applic to jurisdiction,http://www.wikidata.org/prop/direct/P1001
241,79775,applier to jurisdiction,http://www.wikidata.org/prop/direct/P1001
241,79775,applies to jurisdiction,http://www.wikidata.org/prop/direct/P1001
221,30019,archiv at,http://www.wikidata.org/prop/direct/P485
221,30019,archives at,http://www.wikidata.org/prop/direct/P485
221,30019,archivist at,http://www.wikidata.org/prop/direct/P485
