,Unnamed: 0,label,predicate,org_label
242,79777,Australian Classification,http://www.wikidata.org/prop/direct/P3156,Australian Classification
193,9828,BAMID film rating,http://www.wikidata.org/prop/direct/P9086,BAMID film rating
193,9828,BAMID filmi rating,http://www.wikidata.org/prop/direct/P9086,BAMID film rating
53,263,BBFC rating,http://www.wikidata.org/prop/direct/P2629,BBFC rating
64,345,CNC film rating (France),http://www.wikidata.org/prop/direct/P2758,CNC film rating (France)
100,954,CNC film rating (Romania),http://www.wikidata.org/prop/direct/P3402,CNC film rating (Romania)
100,954,CNC film rating (romanian),http://www.wikidata.org/prop/direct/P3402,CNC film rating (Romania)
64,345,CNC filmi rating (France),http://www.wikidata.org/prop/direct/P2758,CNC film rating (France)
100,954,CNC filmi rating (Romania),http://www.wikidata.org/prop/direct/P3402,CNC film rating (Romania)
112,1670,ClassInd rating,http://www.wikidata.org/prop/direct/P3216,ClassInd rating
105,1408,EIRIN film rating,http://www.wikidata.org/prop/direct/P2756,EIRIN film rating
105,1408,EIRIN filmi rating,http://www.wikidata.org/prop/direct/P2756,EIRIN film rating
171,6333,FPB rating,http://www.wikidata.org/prop/direct/P4437,FPB rating
36,112,FSK film rating,http://www.wikidata.org/prop/direct/P1981,FSK film rating
36,112,FSK filmi rating,http://www.wikidata.org/prop/direct/P1981,FSK film rating
27,59,Filmiroda rating,http://www.wikidata.org/prop/direct/P2747,Filmiroda rating
96,897,Hong Kong film rating,http://www.wikidata.org/prop/direct/P8874,Hong Kong film rating
96,897,Hong Kong filmi rating,http://www.wikidata.org/prop/direct/P8874,Hong Kong film rating
28,62,ICAA rating,http://www.wikidata.org/prop/direct/P3306,ICAA rating
95,870,IFCO rating,http://www.wikidata.org/prop/direct/P7573,IFCO rating
119,1833,IGAC rating,http://www.wikidata.org/prop/direct/P5150,IGAC rating
114,1705,IMDA rating,http://www.wikidata.org/prop/direct/P5201,IMDA rating
8,10,IMDb ID,http://www.wikidata.org/prop/direct/P345,IMDb ID
109,1591,INCAA film rating,http://www.wikidata.org/prop/direct/P3428,INCAA film rating
109,1591,INCAA filmi rating,http://www.wikidata.org/prop/direct/P3428,INCAA film rating
34,93,JMK film rating,http://www.wikidata.org/prop/direct/P3650,JMK film rating
34,93,JMK filmi rating,http://www.wikidata.org/prop/direct/P3650,JMK film rating
176,6589,KAVI rating,http://www.wikidata.org/prop/direct/P5152,KAVI rating
191,9144,KMRB film rating,http://www.wikidata.org/prop/direct/P3818,KMRB film rating
191,9144,KMRB filmi rating,http://www.wikidata.org/prop/direct/P3818,KMRB film rating
39,144,Kijkwijzer rating,http://www.wikidata.org/prop/direct/P2684,Kijkwijzer rating
122,2019,MPAA film rating,http://www.wikidata.org/prop/direct/P1657,MPAA film rating
122,2019,MPAA filmi rating,http://www.wikidata.org/prop/direct/P1657,MPAA film rating
159,5082,MTRCB rating,http://www.wikidata.org/prop/direct/P8889,MTRCB rating
54,265,Medierådet rating,http://www.wikidata.org/prop/direct/P5970,Medierådet rating
86,666,NMHH film rating,http://www.wikidata.org/prop/direct/P2363,NMHH film rating
86,666,NMHH filmi rating,http://www.wikidata.org/prop/direct/P2363,NMHH film rating
106,1448,OFLC classification,http://www.wikidata.org/prop/direct/P7327,OFLC classification
140,3454,RARS rating,http://www.wikidata.org/prop/direct/P2637,RARS rating
89,687,RCQ classification,http://www.wikidata.org/prop/direct/P6658,RCQ classification
98,945,RTC film rating,http://www.wikidata.org/prop/direct/P3834,RTC film rating
98,945,RTC filmi rating,http://www.wikidata.org/prop/direct/P3834,RTC film rating
174,6497,affili,http://www.wikidata.org/prop/direct/P1416,affiliation
174,6497,affiliation,http://www.wikidata.org/prop/direct/P1416,affiliation
65,347,after a form by,http://www.wikidata.org/prop/direct/P1877,after a work by
65,347,after a work by,http://www.wikidata.org/prop/direct/P1877,after a work by
65,347,after a worker by,http://www.wikidata.org/prop/direct/P1877,after a work by
150,4537,allegi,http://www.wikidata.org/prop/direct/P945,allegiance
150,4537,allegiance,http://www.wikidata.org/prop/direct/P945,allegiance
216,25074,ancestr home,http://www.wikidata.org/prop/direct/P66,ancestral home
216,25074,ancestral home,http://www.wikidata.org/prop/direct/P66,ancestral home
216,25074,ancestral homey,http://www.wikidata.org/prop/direct/P66,ancestral home
216,25074,ancestral homi,http://www.wikidata.org/prop/direct/P66,ancestral home
72,399,anim,http://www.wikidata.org/prop/direct/P6942,animator
72,399,animator,http://www.wikidata.org/prop/direct/P6942,animator
241,79775,appli to jurisdict,http://www.wikidata.org/prop/direct/P1001,applies to jurisdiction
241,79775,applic to jurisdiction,http://www.wikidata.org/prop/direct/P1001,applies to jurisdiction
241,79775,applier to jurisdiction,http://www.wikidata.org/prop/direct/P1001,applies to jurisdiction
241,79775,applies to jurisdiction,http://www.wikidata.org/prop/direct/P1001,applies to jurisdiction
221,30019,archiv at,http://www.wikidata.org/prop/direct/P485,archives at
221,30019,archives at,http://www.wikidata.org/prop/direct/P485,archives at
221,30019,archivist at,http://www.wikidata.org/prop/direct/P485,archives at
133,2835,art direct,http://www.wikidata.org/prop/direct/P3174,art director
133,2835,art director,http://www.wikidata.org/prop/direct/P3174,art director
133,2835,arti director,http://www.wikidata.org/prop/direct/P3174,art director
75,422,aspect ratio,http://www.wikidata.org/prop/direct/P2061,aspect ratio
75,422,aspectu ratio,http://www.wikidata.org/prop/direct/P2061,aspect ratio
24,46,assess,http://www.wikidata.org/prop/direct/P5021,assessment
24,46,assessement,http://www.wikidata.org/prop/direct/P5021,assessment
24,46,assessment,http://www.wikidata.org/prop/direct/P5021,assessment
24,46,assessorment,http://www.wikidata.org/prop/direct/P5021,assessment
242,79777,australia Classification,http://www.wikidata.org/prop/direct/P3156,Australian Classification
242,79777,australian Classification,http://www.wikidata.org/prop/direct/P3156,Australian Classification
242,79777,australian classif,http://www.wikidata.org/prop/direct/P3156,Australian Classification
61,321,author,http://www.wikidata.org/prop/direct/P50,author
61,321,authori,http://www.wikidata.org/prop/direct/P50,author
33,92,award receiv,http://www.wikidata.org/prop/direct/P166,award received
33,92,award received,http://www.wikidata.org/prop/direct/P166,award received
193,9828,bamid film rate,http://www.wikidata.org/prop/direct/P9086,BAMID film rating
52,257,basald on,http://www.wikidata.org/prop/direct/P144,based on
52,257,base on,http://www.wikidata.org/prop/direct/P144,based on
52,257,based on,http://www.wikidata.org/prop/direct/P144,based on
183,8320,basin countri,http://www.wikidata.org/prop/direct/P205,basin country
183,8320,basin country,http://www.wikidata.org/prop/direct/P205,basin country
53,263,bbfc rate,http://www.wikidata.org/prop/direct/P2629,BBFC rating
103,1323,box offic,http://www.wikidata.org/prop/direct/P2142,box office
103,1323,box office,http://www.wikidata.org/prop/direct/P2142,box office
103,1323,box offici,http://www.wikidata.org/prop/direct/P2142,box office
103,1323,boxer office,http://www.wikidata.org/prop/direct/P2142,box office
103,1323,boxi office,http://www.wikidata.org/prop/direct/P2142,box office
161,5278,broadcast by,http://www.wikidata.org/prop/direct/P3301,broadcast by
184,8384,busi model,http://www.wikidata.org/prop/direct/P7936,business model
184,8384,business model,http://www.wikidata.org/prop/direct/P7936,business model
90,738,capit,http://www.wikidata.org/prop/direct/P36,capital
169,6005,capit of,http://www.wikidata.org/prop/direct/P1376,capital of
90,738,capital,http://www.wikidata.org/prop/direct/P36,capital
169,6005,capital of,http://www.wikidata.org/prop/direct/P1376,capital of
90,738,capitalis,http://www.wikidata.org/prop/direct/P36,capital
169,6005,capitalis of,http://www.wikidata.org/prop/direct/P1376,capital of
7,9,cast member,http://www.wikidata.org/prop/direct/P161,cast member
7,9,caster member,http://www.wikidata.org/prop/direct/P161,cast member
220,29847,caus cause,http://www.wikidata.org/prop/direct/P828,has cause
231,52651,caus edition or translation,http://www.wikidata.org/prop/direct/P747,has edition or translation
177,6657,caus effect,http://www.wikidata.org/prop/direct/P1542,has effect
111,1651,caus of death,http://www.wikidata.org/prop/direct/P509,cause of death
